ImageID,Labels
30000.jpg,1 2 3 4 5 6 8 9 13 15 18 19
30001.jpg,1 3 5 6 13 16 18
30002.jpg,1 2 3 4 5 7 9 10 11 13 15 17 19
30003.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30004.jpg,1 3 4
30005.jpg,1 3 4 5 6 8 9 10 15 17 19
30006.jpg,1 3 4 5 6 7 8 13 18
30007.jpg,1 3 8 13 15 18
30008.jpg,1 3 5
30009.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30010.jpg,1 3 5 6 7 8 10 13 15 19
30011.jpg,1 3 5 6 8 10 13 15 16 18 19
30012.jpg,1 2 3 6 7 10 11 13 15 16 17 18 19
30013.jpg,1 6 8 10 15 18
30014.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30015.jpg,1 3 5 6 8 10 13 15 19
30016.jpg,1 2 5 6 16
30017.jpg,1 2
30018.jpg,1 3 6 8 10 13 15 18 19
30019.jpg,1 3 5 7 8 10 13 15
30020.jpg,1 2 3 5 6 7 8 10 13 14 15 16 17 18 19
30021.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30022.jpg,1 2 3 5 6 7 8 9 10 11 13 15 16 17 18 19
30023.jpg,1 4 6 10 18
30024.jpg,1 3
30025.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30026.jpg,1 3 4 5 6 8 9 10 15 19
30027.jpg,1 2 3 4 8 9 11 15 17 18
30028.jpg,1 2 3 5 6 7 8 10 14 15 16 17 18
30029.jpg,1 3 6 7 8 9 10 11 15 16 17 18
30030.jpg,1 2 3 4 5 6 7 8 10 13 14 15 17 18 19
30031.jpg,1 2 3 4 5 6 7 8 9 10 13 14 15 17 18 19
30032.jpg,1 2 3 4 5 6 7 8 9 13 14 15 16 17 18 19
30033.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30034.jpg,1 3 6 15 16
30035.jpg,1 3 4 5 6 15 16 18 19
30036.jpg,1 3 4 5 6 7 8 9 10 13 15 16 19
30037.jpg,1 2 3 5 7 8 10 15 17 18
30038.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30039.jpg,1 3 6 7 8 10 13 15 18
30040.jpg,1 3 5 6 8 10 11 13 15
30041.jpg,1 2 3 5 6 8 10 13 15 18 19
30042.jpg,1 2 3 6 8 16
30043.jpg,1 2 3 4 5 6 7 8 9 10 13 14 15 16 17 18 19
30044.jpg,1 2 6 10
30045.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30046.jpg,1 2 3 4 5 6 7 8 9 10 13 14 15 16 17 18 19
30047.jpg,1 2 3 5 6 7 10 13 16 17
30048.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30049.jpg,1 3 5 7 9 10 15 18
30050.jpg,1 2 3 4 5 6 13 14 19
30051.jpg,1 3 5 15
30052.jpg,1 2 3 4 5 6 7 8 10 13 15 16 18 19
30053.jpg,1 2 3 4 5 6 7 8 10 13 15 16 17 18
30054.jpg,1 2 3 4 5 6 8 9 10 15 16 18 19
30055.jpg,1 3 5 19
30056.jpg,1 6 8 13 15 18
30057.jpg,1 2 3 4 5 6 7 9 10 13 14 15 16 17 18 19
30058.jpg,1 3 5 6 8 10 13 15 19
30059.jpg,1 2 3 4 8 9 10 11 13 15 17 18 19
30060.jpg,1 3 5 6 8 10 13 15 19
30061.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30062.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30063.jpg,1 2 3 5 7 8 9 10 11 13 14 15 17 18 19
30064.jpg,1 2 3 4 5 6 8 9 13 14 16 17 18 19
30065.jpg,1 3 5 6 8 13 15 16 19
30066.jpg,1 6 8 9
30067.jpg,1 2 3 15 18
30068.jpg,1 10 15
30069.jpg,1 3 8 10 15 19
30070.jpg,1 2 19
30071.jpg,1 3 5 6 7 8 9 13 19
30072.jpg,1 3 5 7 9
30073.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30074.jpg,1 8
30075.jpg,1 3 5 11 13 17
30076.jpg,1 3 5 8 18
30077.jpg,1 3 5 6 8 13 18
30078.jpg,1 2 3 4 16
30079.jpg,1 3 5 6 8 10 13 15 16 18 19
30080.jpg,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19
30081.jpg,1 3
